Total training cases: 3039
Total correctly classified: 2885
Accuracy: 94.93%
.\dataset\plastic\plastic332.jpg glass
.\dataset\plastic\plastic361.jpg glass
.\dataset\plastic\plastic364.jpg paper
.\dataset\plastic\plastic4.jpg metal
.\dataset\plastic\plastic40.jpg glass
.\dataset\plastic\plastic415.jpg metal
.\dataset\plastic\plastic432.jpg glass
.\dataset\plastic\plastic435.jpg glass
.\dataset\plastic\plastic441.jpg glass
.\dataset\plastic\plastic443.jpg glass
.\dataset\plastic\plastic448.jpg metal
.\dataset\plastic\plastic449.jpg metal
.\dataset\plastic\plastic450.jpg metal
.\dataset\plastic\plastic453.jpg metal
.\dataset\plastic\plastic454.jpg paper
.\dataset\plastic\plastic461.jpg paper
.\dataset\plastic\plastic462.jpg paper
.\dataset\plastic\plastic464.jpg paper
.\dataset\plastic\plastic465.jpg paper
.\dataset\plastic\plastic466.jpg paper
.\dataset\plastic\plastic467.jpg metal
.\dataset\plastic\plastic469.jpg glass
.\dataset\plastic\plastic473.jpg glass
.\dataset\plastic\plastic477.jpg paper
.\dataset\plastic\plastic481.jpg paper
.\dataset\plastic\plastic84.jpg metal
.\dataset\plastic\plastic94.jpg glass
